periodo,indicator_id,meta,realizado,fuente
2023-01,I001,430.0,457.0,SIMULADO
2023-01,I001A,230.0,228.0,SIMULADO
2023-01,I001B,180.0,178.0,SIMULADO
2023-01,I001C,70.0,51.0,SIMULADO
2023-01,I002,45.0,43.26,SIMULADO
2023-01,I003,220.0,201.748,SIMULADO
2023-01,I004,93.0,93.551,SIMULADO
2023-01,I004A,92.5,93.284,SIMULADO
2023-01,I004B,93.5,93.769,SIMULADO
2023-01,I005,5.0,5.232,SIMULADO
2023-01,I006,44.0,47.123,SIMULADO
2023-01,I007,10.0,10.774,SIMULADO
2023-02,I001,430.0,474.0,SIMULADO
2023-02,I001A,230.0,217.0,SIMULADO
2023-02,I001B,180.0,183.0,SIMULADO
2023-02,I001C,70.0,74.0,SIMULADO
2023-02,I002,45.0,41.492,SIMULADO
2023-02,I003,220.0,207.339,SIMULADO
2023-02,I004,93.0,93.907,SIMULADO
2023-02,I004A,92.5,93.098,SIMULADO
2023-02,I004B,93.5,94.569,SIMULADO
2023-02,I005,5.0,4.703,SIMULADO
2023-02,I006,44.0,48.773,SIMULADO
2023-02,I007,10.0,10.662,SIMULADO
2023-03,I001,430.0,554.0,SIMULADO
2023-03,I001A,230.0,278.0,SIMULADO
2023-03,I001B,180.0,198.0,SIMULADO
2023-03,I001C,70.0,78.0,SIMULADO
2023-03,I002,45.0,46.483,SIMULADO
2023-03,I003,220.0,209.748,SIMULADO
2023-03,I004,93.0,93.657,SIMULADO
2023-03,I004A,92.5,93.08,SIMULADO
2023-03,I004B,93.5,94.129,SIMULADO
2023-03,I005,5.0,4.985,SIMULADO
2023-03,I006,44.0,48.942,SIMULADO
2023-03,I007,10.0,9.566,SIMULADO
2023-04,I001,430.0,612.0,SIMULADO
2023-04,I001A,230.0,291.0,SIMULADO
2023-04,I001B,180.0,234.0,SIMULADO
2023-04,I001C,70.0,87.0,SIMULADO
2023-04,I002,45.0,47.357,SIMULADO
