indicator_id,year,meta_promedio,realizado_promedio
I001,2023,430.0,492.4166666666667
I001,2024,470.0,557.0
I001,2025,520.0,643.9166666666666
I001A,2023,230.0,230.25
I001A,2024,250.0,266.4166666666667
I001A,2025,275.0,300.3333333333333
I001B,2023,180.0,193.5
I001B,2024,200.0,216.75
I001B,2025,220.0,237.75
I001C,2023,70.0,68.66666666666667
I001C,2024,90.0,73.83333333333333
I001C,2025,110.0,105.83333333333333
I002,2023,45.0,46.446416666666664
I002,2024,55.0,53.942
I002,2025,65.0,66.77708333333334
I003,2023,220.0,209.70024999999998
I003,2024,235.0,222.59916666666666
I003,2025,250.0,229.07125
I004,2023,93.0,93.58924999999999
I004,2024,93.5,93.93358333333333
I004,2025,94.0,94.38041666666668
I004A,2023,92.5,93.11541666666666
I004A,2024,93.0,93.74849999999999
I004A,2025,93.5,94.18858333333333
I004B,2023,93.5,93.97699999999999
I004B,2024,94.0,94.085
I004B,2025,94.3,94.53716666666666
I005,2023,5.0,4.5040000000000004
I005,2024,4.6,4.2915
I005,2025,4.0,3.2923333333333336
I006,2023,44.0,45.54458333333333
I006,2024,36.0,37.461166666666664
I006,2025,30.0,29.43541666666667
I007,2023,10.0,10.236
I007,2024,11.0,12.09325
I007,2025,12.5,14.650333333333334
