periodo,project_id,avance_planificado_pct,avance_real_pct,estado,riesgo
2024-08,P001,0.0,0.0,Verde,Medio
2024-09,P001,10.0,9.65,Verde,Medio
2024-10,P001,20.0,20.0,Verde,Medio
2024-11,P001,30.0,22.32,Amarillo,Medio
2024-12,P001,40.0,33.62,Amarillo,Medio
2025-01,P001,50.0,39.44,Amarillo,Medio
2025-02,P001,60.0,39.77,Rojo,Medio
2025-03,P001,70.0,46.53,Rojo,Medio
2025-04,P001,80.0,56.61,Rojo,Medio
2025-05,P001,90.0,65.53,Rojo,Medio
2025-06,P001,100.0,70.03,Rojo,Medio
2025-07,P001,100.0,88.99,Amarillo,Medio
2025-08,P001,100.0,87.57,Amarillo,Medio
2025-09,P001,100.0,100.0,Cerrado,Medio
2025-10,P001,100.0,100.0,Cerrado,Medio
2025-11,P001,100.0,100.0,Cerrado,Medio
2025-12,P001,100.0,100.0,Cerrado,Medio
2024-03,P002,0.0,0.0,Verde,Alto
2024-04,P002,16.67,18.98,Verde,Alto
2024-05,P002,33.33,26.96,Amarillo,Alto
2024-06,P002,50.0,42.82,Amarillo,Alto
2024-07,P002,66.67,47.26,Rojo,Alto
2024-08,P002,83.33,49.36,Rojo,Alto
2024-09,P002,100.0,61.25,Rojo,Alto
2024-10,P002,100.0,60.2,Rojo,Alto
2024-11,P002,100.0,62.62,Rojo,Alto
2024-12,P002,100.0,66.32,Rojo,Alto
2025-01,P002,100.0,86.57,Amarillo,Alto
2025-02,P002,100.0,100.0,Cerrado,Alto
2025-03,P002,100.0,100.0,Cerrado,Alto
2025-04,P002,100.0,100.0,Cerrado,Alto
2025-05,P002,100.0,100.0,Cerrado,Alto
2025-06,P002,100.0,100.0,Cerrado,Alto
2025-07,P002,100.0,100.0,Cerrado,Alto
2025-08,P002,100.0,100.0,Cerrado,Alto
2025-09,P002,100.0,100.0,Cerrado,Alto
2025-10,P002,100.0,100.0,Cerrado,Alto
2025-11,P002,100.0,100.0,Cerrado,Alto
2025-12,P002,100.0,100.0,Cerrado,Alto
2023-05,P003,0.0,0.0,Verde,Bajo
2023-06,P003,14.29,13.75,Verde,Bajo
2023-07,P003,28.57,29.16,Verde,Bajo
2023-08,P003,42.86,45.32,Verde,Bajo
2023-09,P003,57.14,55.96,Verde,Bajo
2023-10,P003,71.43,72.99,Verde,Bajo
2023-11,P003,85.71,84.92,Verde,Bajo
2023-12,P003,100.0,99.65,Verde,Bajo
2024-01,P003,100.0,100.0,Cerrado,Bajo
2024-02,P003,100.0,100.0,Cerrado,Bajo
2024-03,P003,100.0,100.0,Cerrado,Bajo
2024-04,P003,100.0,100.0,Cerrado,Bajo
2024-05,P003,100.0,100.0,Cerrado,Bajo
2024-06,P003,100.0,100.0,Cerrado,Bajo
2024-07,P003,100.0,100.0,Cerrado,Bajo
2024-08,P003,100.0,100.0,Cerrado,Bajo
2024-09,P003,100.0,100.0,Cerrado,Bajo
2024-10,P003,100.0,100.0,Cerrado,Bajo
2024-11,P003,100.0,100.0,Cerrado,Bajo
2024-12,P003,100.0,100.0,Cerrado,Bajo
2025-01,P003,100.0,100.0,Cerrado,Bajo
2025-02,P003,100.0,100.0,Cerrado,Bajo
2025-03,P003,100.0,100.0,Cerrado,Bajo
2025-04,P003,100.0,100.0,Cerrado,Bajo
2025-05,P003,100.0,100.0,Cerrado,Bajo
2025-06,P003,100.0,100.0,Cerrado,Bajo
2025-07,P003,100.0,100.0,Cerrado,Bajo
2025-08,P003,100.0,100.0,Cerrado,Bajo
2025-09,P003,100.0,100.0,Cerrado,Bajo
2025-10,P003,100.0,100.0,Cerrado,Bajo
2025-11,P003,100.0,100.0,Cerrado,Bajo
2025-12,P003,100.0,100.0,Cerrado,Bajo
2023-09,P004,0.0,1.42,Verde,Medio
2023-10,P004,16.67,16.27,Verde,Medio
2023-11,P004,33.33,27.84,Amarillo,Medio
2023-12,P004,50.0,52.78,Verde,Medio
2024-01,P004,66.67,64.85,Verde,Medio
2024-02,P004,83.33,81.73,Verde,Medio
2024-03,P004,100.0,96.79,Verde,Medio
2024-04,P004,100.0,98.04,Verde,Medio
2024-05,P004,100.0,100.0,Cerrado,Medio
2024-06,P004,100.0,100.0,Cerrado,Medio
2024-07,P004,100.0,100.0,Cerrado,Medio
2024-08,P004,100.0,100.0,Cerrado,Medio
2024-09,P004,100.0,100.0,Cerrado,Medio
2024-10,P004,100.0,100.0,Cerrado,Medio
2024-11,P004,100.0,100.0,Cerrado,Medio
2024-12,P004,100.0,100.0,Cerrado,Medio
2025-01,P004,100.0,100.0,Cerrado,Medio
2025-02,P004,100.0,100.0,Cerrado,Medio
2025-03,P004,100.0,100.0,Cerrado,Medio
2025-04,P004,100.0,100.0,Cerrado,Medio
2025-05,P004,100.0,100.0,Cerrado,Medio
2025-06,P004,100.0,100.0,Cerrado,Medio
2025-07,P004,100.0,100.0,Cerrado,Medio
2025-08,P004,100.0,100.0,Cerrado,Medio
2025-09,P004,100.0,100.0,Cerrado,Medio
2025-10,P004,100.0,100.0,Cerrado,Medio
2025-11,P004,100.0,100.0,Cerrado,Medio
2025-12,P004,100.0,100.0,Cerrado,Medio
2024-01,P005,0.0,0.0,Verde,Medio
2024-02,P005,9.09,8.67,Verde,Medio
2024-03,P005,18.18,12.95,Amarillo,Medio
2024-04,P005,27.27,18.41,Amarillo,Medio
2024-05,P005,36.36,24.69,Amarillo,Medio
2024-06,P005,45.45,35.28,Amarillo,Medio
2024-07,P005,54.55,44.99,Amarillo,Medio
2024-08,P005,63.64,53.21,Amarillo,Medio
2024-09,P005,72.73,67.63,Amarillo,Medio
2024-10,P005,81.82,72.86,Amarillo,Medio
2024-11,P005,90.91,74.39,Rojo,Medio
2024-12,P005,100.0,86.04,Amarillo,Medio
2025-01,P005,100.0,83.78,Rojo,Medio
2025-02,P005,100.0,84.15,Rojo,Medio
2025-03,P005,100.0,85.56,Amarillo,Medio
2025-04,P005,100.0,86.86,Amarillo,Medio
2025-05,P005,100.0,83.98,Rojo,Medio
2025-06,P005,100.0,88.19,Amarillo,Medio
2025-07,P005,100.0,81.57,Rojo,Medio
2025-08,P005,100.0,85.02,Amarillo,Medio
2025-09,P005,100.0,92.79,Amarillo,Medio
2025-10,P005,100.0,85.67,Amarillo,Medio
2025-11,P005,100.0,89.3,Amarillo,Medio
2025-12,P005,100.0,85.27,Amarillo,Medio
2025-06,P006,0.0,1.74,Verde,Bajo
2025-07,P006,25.0,24.83,Verde,Bajo
2025-08,P006,50.0,49.49,Verde,Bajo
2025-09,P006,75.0,72.66,Verde,Bajo
2025-10,P006,100.0,100.0,Cerrado,Bajo
2025-11,P006,100.0,97.45,Verde,Bajo
2025-12,P006,100.0,100.0,Cerrado,Bajo
